"title","question","correct","wrong1","wrong2","wrong3","explanation"
"Salute: mal di testa","Cosa hai quando ti fa male la testa?","mal di testa","mal di stomaco","mal di gola","mal di schiena","Quando la testa fa male, hai 'mal di testa'. 'Mal di stomaco' riguarda lo stomaco."
"Salute: febbre","La tua temperatura è 39 gradi. Cosa hai?","la febbre","la tosse","il raffreddore","l'allergia","Una temperatura alta (sopra 38 gradi) si chiama 'febbre'."
"Salute: medicina","Compri ___ in farmacia quando hai mal di testa.","una medicina","una ricetta","una visita","un appuntamento","In farmacia si comprano le 'medicine'. La 'ricetta' la scrive il dottore, la 'visita' e l'appuntamento si prendono dal medico."
"Salute: appuntamento","Per vedere il dottore, prendi un ___.","appuntamento","sintomo","ospedale","esame","Per vedere il dottore 'prendi un appuntamento', cioè fissi un orario. Non si dice 'prendere un sintomo' o 'prendere un esame' (si dice 'fare un esame')."
"Salute: farmacia","Dove compri le medicine?","in farmacia","in panetteria","dal barbiere","in edicola","Le medicine si comprano 'in farmacia'. La panetteria vende il pane."
"Salute: raffreddore","Starnutisci molto e hai il naso chiuso. Cosa hai?","il raffreddore","la febbre","il mal di testa","la tosse","Starnutire e avere il naso chiuso sono sintomi del 'raffreddore'."
"Salute: tossire","Fai 'cof cof' spesso. Cosa fai?","tossire","starnutire","respirare","dormire","'Cof cof' è il suono della tosse. Starnutire è diverso: 'etciù'."
"Salute: gola","La mia gola fa male. Ho mal di ___","gola","testa","stomaco","denti","Quando la gola fa male, hai 'mal di gola'."
"Salute: medico di base","Come si chiama il dottore che vedi normalmente?","il medico di base","il dentista","lo specialista","il chirurgo","Il 'medico di base' è il dottore per i problemi generali. Il dentista è per i denti."
"Salute: ricetta","Cosa scrive il dottore per le medicine?","una ricetta","un appuntamento","una diagnosi","una fattura","Il dottore scrive una 'ricetta' per comprare le medicine in farmacia."
"Salute: malato","Hai la febbre e mal di stomaco. Sei ___","malato","stanco","arrabbiato","triste","Quando hai febbre e dolore, sei 'malato'. 'Stanco' significa che vuoi dormire."
"Salute: guarire","Dopo una settimana non sei più malato. Cosa è successo?","sei guarito","sei peggiorato","sei caduto","sei partito","Quando non sei più malato, sei 'guarito'. Il contrario è 'peggiorato'."
"Salute: influenza","Hai febbre, dolori muscolari e sei molto stanco. Cosa hai?","l'influenza","il mal di testa","l'allergia","una ferita","Febbre + dolori muscolari + stanchezza = sintomi tipici dell'influenza."
"Salute: stomaco","Hai mangiato troppo e ora ti fa male. Cosa hai?","mal di stomaco","mal di testa","mal di gola","mal di schiena","Quando mangi troppo e lo stomaco fa male, hai 'mal di stomaco'."
"Salute: dolore","Il braccio ti fa molto male. Hai un ___ al braccio.","dolore","freddo","colore","rumore","Quando qualcosa fa male, senti un 'dolore'. È la sensazione fisica negativa."
"Salute: stare meglio","Ieri stavi male, oggi stai ___","meglio","peggio","tardi","poco","Se ieri stavi male e oggi la situazione è migliorata, stai 'meglio'."
"Salute: ambulanza","C'è un'emergenza. Cosa chiami?","l'ambulanza","il taxi","l'autobus","il treno","In un'emergenza medica chiami 'l'ambulanza' che porta i malati all'ospedale."
"Tempo: mezzogiorno","Che ore sono quando sono le 12:00 di giorno?","mezzogiorno","mezzanotte","mattina","sera","Le 12:00 di giorno si chiamano 'mezzogiorno'. Le 12:00 di notte sono 'mezzanotte'."
"Tempo: mezzanotte","Che ore sono quando sono le 00:00?","mezzanotte","mezzogiorno","sera","mattina","Le 00:00 si chiamano 'mezzanotte', cioè la metà della notte."
"Tempo: un quarto","Che ore sono? 10:15","le dieci e un quarto","le dieci e mezza","le undici meno un quarto","le dieci meno un quarto","10:15 = 'le dieci e un quarto'. Un quarto significa 15 minuti dopo l'ora."
"Tempo: e mezza","Che ore sono? 3:30","le tre e mezza","le tre e un quarto","le quattro meno un quarto","le due e mezza","3:30 = 'le tre e mezza'. 'Mezza' significa 30 minuti, metà di un'ora."
"Tempo: meno un quarto","Che ore sono? 8:45","le nove meno un quarto","le otto e un quarto","le otto e mezza","le nove e un quarto","8:45 = 'le nove meno un quarto', cioè mancano 15 minuti alle nove."
"Tempo: stamattina","Quando è successo? Oggi, alle 8 del mattino.","stamattina","stasera","ieri","domani","Se è successo oggi di mattina, è successo 'stamattina' (questa mattina)."
"Tempo: dopodomani","Oggi è lunedì. Mercoledì è ___","dopodomani","domani","ieri","l'altro ieri","Il giorno dopo domani si chiama 'dopodomani'. Domani è solo il giorno dopo."
"Tempo: l'altro ieri","Oggi è mercoledì. Lunedì era ___","l'altro ieri","ieri","domani","dopodomani","Due giorni fa si dice 'l'altro ieri'. 'Ieri' è solo un giorno fa."
"Tempo: settimana prossima","La settimana dopo questa si chiama ___","la settimana prossima","la settimana scorsa","questa settimana","il mese prossimo","La settimana che viene dopo questa è 'la settimana prossima'. 'Scorsa' è quella passata."
"Tempo: tra poco","Il treno arriva alle 14:05 e adesso sono le 14:02. Il treno arriva ___","tra poco","tra molto","tra un'ora","tra una settimana","Se mancano solo pochi minuti, diciamo 'tra poco'. Significa che il momento è vicino."
"Tempo: in ritardo","Il treno doveva arrivare alle 10:00, ma arriva alle 10:20. Il treno è ___","in ritardo","in anticipo","puntuale","veloce","Se il treno arriva dopo l'orario previsto, è 'in ritardo'. Il contrario è 'in anticipo'."
"Tempo: puntuale","L'autobus arriva esattamente alle 9:00 come previsto. L'autobus è ___","puntuale","in ritardo","in anticipo","lento","Se arriva all'ora giusta, è 'puntuale'. Non prima e non dopo."
"Tempo: di solito","Mangio pasta quasi ogni giorno. ___ mangio pasta.","di solito","mai","raramente","qualche volta","'Di solito' significa quasi sempre, normalmente. 'Mai' è il contrario."
"Tempo: ogni tanto","Non mangio il pesce spesso, ma a volte sì. Mangio il pesce ___","ogni tanto","sempre","mai","tutti i giorni","'Ogni tanto' significa qualche volta, non spesso ma nemmeno mai."
"Tempo: già","Hai fatto i compiti? Sì, li ho ___ fatti.","già","molto","mai","poco","'Già' significa che l'azione è completata. Gli altri non funzionano in questa posizione: 'li ho molto/poco fatti' non è italiano corretto, e 'mai' richiede 'non' ('non li ho mai fatti')."
"Tempo: non ancora","Hai mangiato? No, ma mangio tra poco. Non ho ___ mangiato.","ancora","già","presto","tardi","'Non ... ancora' significa che l'azione non è successa, ma succederà presto. Gli altri sono ungrammaticali qui: 'non ho già mangiato', 'non ho presto/tardi mangiato' non sono italiano corretto."
"Routine: svegliarsi","Cosa fai quando apri gli occhi la mattina?","mi sveglio","mi addormento","mi vesto","mi lavo","Quando apri gli occhi la mattina, 'ti svegli'. 'Addormentarsi' è il contrario."
"Routine: alzarsi","Dopo la sveglia, esci dal letto. Cosa fai?","mi alzo","mi sdraio","mi siedo","mi addormento","Uscire dal letto si dice 'alzarsi'. 'Sdraiarsi' è il contrario: andare a letto."
"Routine: lavarsi i denti","Dopo colazione, cosa fai con lo spazzolino?","mi lavo i denti","mi pettino","mi vesto","mi trucco","Con lo spazzolino 'ti lavi i denti'. Pettinarsi è per i capelli."
"Routine: fare colazione","Cosa fai la mattina quando mangi per la prima volta?","faccio colazione","faccio pranzo","faccio cena","faccio merenda","Il primo pasto della giornata è la 'colazione'. Il pranzo è a mezzogiorno."
"Routine: vestirsi","Dopo la doccia, metti i vestiti. Cosa fai?","mi vesto","mi spoglio","mi lavo","mi sveglio","Mettere i vestiti si dice 'vestirsi'. 'Spogliarsi' è togliere i vestiti."
"Routine: fare la doccia","Cosa fai per lavarti tutto il corpo?","faccio la doccia","faccio colazione","faccio la spesa","faccio una passeggiata","Per lavarti il corpo usi l'acqua e fai 'la doccia'."
"Routine: pettinarsi","Cosa fai con i capelli dopo la doccia?","mi pettino","mi lavo","mi vesto","mi trucco","Usare il pettine per i capelli si dice 'pettinarsi'."
"Routine: andare al lavoro","Cosa fai alle 8 di mattina, dopo colazione?","vado al lavoro","vado a dormire","vado in vacanza","vado a cena","La mattina, dopo colazione, molte persone 'vanno al lavoro'."
"Routine: pranzare","Cosa fai a mezzogiorno quando hai fame?","pranzo","ceno","faccio colazione","faccio merenda","Il pasto di mezzogiorno si chiama 'pranzo'. 'Pranzare' = mangiare a mezzogiorno."
"Routine: riposarsi","Dopo pranzo, vuoi rilassarti un po'. Cosa fai?","mi riposo","mi sveglio","mi alzo","mi vesto","Dopo pranzo, puoi 'riposarti' = rilassarti, non fare niente per un po'."
"Routine: fare la spesa","Vai al supermercato per comprare il cibo. Cosa fai?","faccio la spesa","faccio la doccia","faccio colazione","faccio sport","Comprare il cibo al supermercato si dice 'fare la spesa'."
"Routine: cenare","Cosa fai la sera quando mangi?","ceno","pranzo","faccio colazione","faccio merenda","Il pasto della sera si chiama 'cena'. 'Cenare' = mangiare la sera."
"Routine: addormentarsi","Cosa fai quando chiudi gli occhi la sera nel letto?","mi addormento","mi sveglio","mi alzo","mi vesto","Quando chiudi gli occhi e cominci a dormire, 'ti addormenti'. È il contrario di svegliarsi."
"Routine: spazzolino","Cosa usi per lavarti i denti?","lo spazzolino","il pettine","l'asciugamano","il sapone","Per lavare i denti usi 'lo spazzolino' con il dentifricio."
"Routine: asciugamano","Dopo la doccia, cosa usi per asciugarti?","l'asciugamano","lo spazzolino","il sapone","il pettine","Dopo la doccia ti asciughi con 'l'asciugamano'. È il tessuto grande per asciugarsi."
"Routine: apparecchiare","Prima di mangiare, metti i piatti e le posate sul tavolo. Cosa fai?","apparecchio la tavola","sparecchio la tavola","lavo i piatti","cucino","Mettere piatti, posate e bicchieri sul tavolo si dice 'apparecchiare la tavola'."
"Routine: sparecchiare","Dopo cena, togli i piatti dal tavolo. Cosa fai?","sparecchio la tavola","apparecchio la tavola","cucino","mangio","Togliere piatti e posate dal tavolo dopo mangiato si dice 'sparecchiare'. È il contrario di apparecchiare."
