"title","question","correct","wrong1","wrong2","wrong3","explanation"
"Congiuntivo imperfetto: dare","Voleva che io gli ___ una mano con il trasloco.","dessi","davo","darei","do","Il congiuntivo imperfetto di 'dare' alla prima persona è 'dessi', forma irregolare. Dopo 'voleva che' serve il congiuntivo."
"Congiuntivo imperfetto: stare","Pensavo che tu ___ meglio dopo la cura.","stessi","stavi","staresti","stai","Il congiuntivo imperfetto di 'stare' è 'stessi'. Si usa dopo 'pensavo che' per esprimere un'opinione passata."
"Congiuntivo imperfetto: dire","Non sapevo che voi ___ sul serio.","diceste","dicevate","direste","dite","Il congiuntivo imperfetto di 'dire' alla seconda persona plurale è 'diceste'. 'Dicevate' è indicativo imperfetto."
"Congiuntivo imperfetto: bere","Credevo che Luigi ___ solo acqua, non vino.","bevesse","beveva","berrebbe","beve","Il congiuntivo imperfetto di 'bere' è 'bevesse'. Si usa dopo 'credevo che' per esprimere un'opinione al passato."
"Congiuntivo imperfetto: tradurre","Era necessario che loro ___ il documento entro sera.","traducessero","traducevano","tradurrebbero","traducono","I verbi in '-urre' formano il congiuntivo imperfetto con la radice in '-ucesse': 'traducessero'."
"Congiuntivo imperfetto: porre","Pretendeva che noi ___ fine alla discussione.","ponessimo","ponevamo","porremmo","poniamo","I verbi in '-orre' formano il congiuntivo imperfetto con '-onessi': 'ponessimo'. 'Ponevamo' è indicativo."
"Congiuntivo imperfetto: trarre","Sperava che io ___ beneficio da quell'esperienza.","traessi","traevo","trarrei","traggo","I verbi in '-arre' hanno il congiuntivo imperfetto in '-aessi': 'traessi'. È una forma rara ma regolare."
"Congiuntivo imperfetto: piacere","Non immaginavo che gli ___ così tanto la musica classica.","piacesse","piaceva","piacerebbe","piace","Dopo 'non immaginavo che' si usa il congiuntivo imperfetto. Con 'piacere' la struttura è impersonale: 'gli piacesse'."
"Congiuntivo trapassato: trattenersi","Credevo che si ___ più a lungo alla festa.","fossero trattenuti","erano trattenuti","avessero trattenuti","hanno trattenuti","'Trattenersi' è riflessivo e usa 'essere' nei tempi composti. Il congiuntivo trapassato è 'si fossero trattenuti'."
"Congiuntivo trapassato: accorgersi","Non sapevo che ti ___ dell'errore prima di me.","fossi accorto","eri accorto","avessi accorto","sei accorto","'Accorgersi' usa l'ausiliare 'essere': il congiuntivo trapassato è 'ti fossi accorto'. 'Avessi accorto' è sbagliato."
"Congiuntivo trapassato: riuscire","Dubitavo che ___ a finire il progetto in tempo.","fossero riusciti","avessero riuscito","erano riusciti","avrebbero riuscito","'Riuscire' richiede l'ausiliare 'essere': 'fossero riusciti'. 'Avessero riuscito' sbaglia l'ausiliare."
