"title","question","correct","wrong1","wrong2","wrong3","explanation"
"Work, Education & Hobbies","A person who works in a hospital and helps sick people is a _____.","nurse","waiter","mechanic","librarian","A nurse works in a hospital taking care of patients."
"Work, Education & Hobbies","The place where you go to borrow books is a _____.","library","laboratory","gallery","factory","A library is a public building where you can borrow and read books."
"Work, Education & Hobbies","A formal written test that checks what students have learned is called an _____.","exam","examing","examed","examen","An exam is a formal test. The other options are not real English nouns."
"Work, Education & Hobbies","Your teacher gives you _____ to do at home after school.","homework","homeworks","a homework","home-work","Homework is an uncountable noun: no plural ('homeworks') and no 'a homework'. The standard spelling is one word: homework."
"Work, Education & Hobbies","A _____ fixes cars and other vehicles.","mechanic","carpenter","electrician","plumber","A mechanic is a person whose job is repairing engines and machines, especially in cars."
"Work, Education & Hobbies","She got a very good _____ on her report card this semester.","grade","grades","grading","graded","'A very good' requires a singular noun: 'grade'. The other options are wrong number or non-noun forms."
"Work, Education & Hobbies","He likes to _____ photos of birds in the park.","take","makes","making","took","The verb after 'to' must be the base form. 'Take photos' is the standard collocation in English."
"Work, Education & Hobbies","My _____ at work is to answer the phone and greet visitors.","job","career","hobby","skill","In this sentence, 'job' means your duty or task — what you are responsible for doing."
"Work, Education & Hobbies","A _____ works in a kitchen and prepares food for customers.","chef","waiter","cashier","cleaner","A chef is a professional cook who works in a restaurant kitchen."
"Work, Education & Hobbies","In British schools, one of the three parts the school year is divided into is called a _____.","term","terming","termed","termly","A term is one of the periods the school year is divided into (British English). The other options are not nouns for this meaning."
"Work, Education & Hobbies","She enjoys _____ in her free time — she makes sweaters and scarves.","knitting","ironing","painting","drawing","Knitting is the hobby of making clothes from wool using two long needles."
"Work, Education & Hobbies","A _____ delivers letters and packages to your home.","postman","policeman","fireman","salesman","A postman (or mail carrier) is the person who brings mail to houses."
"Work, Education & Hobbies","I need to _____ for my exam tomorrow, so I can't go out tonight.","study","studys","studing","to study","The base form after 'to' is 'study'. 'Studys' and 'studing' are misspellings; 'to study' would give 'need to to study'."
"Work, Education & Hobbies","He works as a _____ — he builds houses and other structures.","builder","painter","driver","farmer","A builder is a person whose job is constructing buildings and houses."
"Work, Education & Hobbies","Playing chess is a good way to improve your _____ skills.","thinking","speaking","cooking","cleaning","Chess requires strategy and logic, so it improves your thinking skills."
"Work, Education & Hobbies","A _____ works in a school and teaches children.","teacher","trainer","coach","receptionist","A teacher is the person employed by a school to educate students in a classroom."
"Work, Education & Hobbies","She has a _____ for languages — she already speaks three fluently.","talent","habit","hobby","interest","A talent is a natural ability to do something well without much training."
"Work, Education & Hobbies","He _____ his own business selling handmade furniture.","runs","drives","plays","walks","To 'run a business' means to manage and operate it. This is a common collocation."
"Work, Education & Hobbies","The students are working on a group _____ about climate change.","project","subject","lesson","course","A project is a piece of planned work or research done by students, often in a group."
"Work, Education & Hobbies","My favorite _____ at school is history.","subject","subjective","subjection","subjectly","A subject is an area of knowledge studied at school. The other options are not the correct noun form."
"Work, Education & Hobbies","Working the standard 40 hours a week, Monday to Friday, 9 to 5, is called working _____.","full-time","full-times","fully-time","full-timing","Full-time means working the standard number of weekly hours. The other options are not real English word forms."
"Work, Education & Hobbies","A _____ designs buildings and other structures.","architect","engineer","builder","decorator","An architect is a professional who plans and designs buildings before they are built."
"Work, Education & Hobbies","He enjoys _____ — he goes to the lake every weekend with his fishing rod.","fishing","hunting","sailing","swimming","Fishing is the activity of catching fish, usually with a rod and line."
"Work, Education & Hobbies","I have a _____ with my boss at 2 o'clock to discuss next quarter's budget.","meeting","lesson","lecture","recess","A meeting is a planned gathering at work where people discuss business topics. Lessons and lectures happen in classrooms, and recess is a school break."
"Work, Education & Hobbies","She is very good at _____ — she can draw realistic portraits.","art","music","drama","craft","Art includes drawing, painting, and sculpture. Drawing realistic portraits is an art skill."
"Work, Education & Hobbies","The _____ in our office is friendly and helpful — she answers all calls.","receptionist","accountant","manager","assistant","A receptionist is the person at the front desk who greets visitors and answers phones."
"Work, Education & Hobbies","He _____ the guitar in a band on weekends.","plays","does","makes","takes","We say 'play' with musical instruments: play the guitar, play the piano, play the drums."
