"title","question","correct","wrong1","wrong2","wrong3","explanation"
"Third conditional: could have vs would have","If I had known about the delay, I ___ a different flight.","could have booked","could have book","could had booked","could have booking","'Could have + past participle' expresses a past possibility that was available but not taken. The distractors use impossible verb forms: bare infinitive instead of participle, 'had' after a modal, or -ing after 'have'."
"Third conditional: might have","If the manager hadn't intervened, the argument ___ into a real fight.","might have turned","might have turn","might had turned","might have turning","'Might have + past participle' expresses an uncertain past outcome in a third conditional. The distractors use impossible forms after 'might have': bare infinitive, past tense 'had', and -ing."
"Third conditional: contracted form","If we'd arrived earlier, we ___ seats near the front.","would've got","would got","will have got","had got","'We'd' contracts 'we had'. The result clause uses 'would have + past participle', which contracts to 'would've got'. 'Would got' is grammatically incomplete."
"Third conditional: regret with if only","___ I'd checked the weather forecast, I wouldn't have left my umbrella at home.","If only","Only had","Were if","Had been","'If only + past perfect' expresses regret about a past situation, similar to a third conditional. The distractors are not grammatical English constructions."
"Third conditional: couldn't have","If the traffic hadn't been so bad, we ___ the flight. But it was terrible.","couldn't have missed","couldn't miss","wouldn't miss","didn't miss","'Couldn't have missed' means it would have been impossible to miss the flight. This deduction about an unreal past uses 'couldn't have + past participle'."
"Third conditional: mixed regret","She ___ the job if she'd prepared better for the interview. But she didn't, and she didn't get it.","would have got","would has got","would have getting","had have got","The result clause of the third conditional requires 'would have + past participle'. The distractors use impossible forms: 'has' after a modal, -ing after 'have', and 'had have' (double auxiliary)."
"Third conditional: question with might","Do you think he ___ if we had invited him to the party last weekend?","might have come","might have came","might had come","might have coming","'Might have + past participle' expresses uncertainty about an unreal past outcome. The distractors use impossible forms: past tense 'came' instead of the participle 'come', 'had' after a modal, and -ing after 'have'."
"Third conditional: negative could have","If she'd seen the sign, she ___ the wrong turn.","couldn't have taken","couldn't have took","couldn't had taken","couldn't have taking","'Couldn't have + past participle' means it would have been impossible. The distractors use impossible forms: past tense 'took' instead of the participle, 'had' after a modal, and -ing after 'have'."
"Third conditional: would never have","If he hadn't moved abroad back in 2005, he ___ his wife.","would never have met","would never have meet","would never had met","would never have meeting","'Would never have + past participle' is the negative third conditional result. The distractors use impossible forms after 'have': bare infinitive, 'had' after a modal, and -ing."
"Third conditional: past perfect if-clause","If I ___ the answer at the time, I would have told you immediately.","had known","had knew","would have known","had been knew","The if-clause of the third conditional uses 'had + past participle'. The distractors use impossible forms: 'had knew' (past tense after 'had'), 'would have known' (result-clause form in the if-clause), and 'had been knew' (nonsense passive)."
"Wish: past vs past perfect","I failed the test. I wish I ___ harder.","had studied","have studied","did studied","had study","Regret about a specific completed past event requires 'wish + past perfect' (had + past participle). The distractors use impossible verb forms after 'wish'."
"Wish: wish vs if only (present regret)","___ I could turn back time and study languages as a child!","If only","Only if","Even when","Wishing","'If only' is a stronger, more emotional version of 'I wish'. Both take the past simple for present unreal wishes. 'Only if' means 'on the condition that'."
"Wish: would for complaints","I wish my neighbours ___ playing loud music. I've asked them so many times but they refuse.","would stop","would stopped","will stop","are stopping","'Wish + would + base form' is used to complain about other people's annoying habits. 'Would stopped' mixes modal with past tense (impossible). 'Will stop' and 'are stopping' are ungrammatical after 'wish'."
"Wish: wouldn't for irritation","I wish the neighbours ___ their dog out so late every night. It keeps waking me up.","wouldn't let","don't let","wouldn't letting","won't let","'Wish + wouldn't + base form' complains about repeated habits. 'Don't let' (present), 'wouldn't letting' (wrong form after modal), and 'won't let' (future) are all ungrammatical after 'wish'."
"Wish: past perfect for deep regret","I wish I ___ that embarrassing email to my boss yesterday.","hadn't sent","didn't send","wouldn't send","haven't sent","Regret about a specific past action requires 'wish + past perfect'. 'Hadn't sent' expresses the wish to undo a completed action."
"Wish: if only + past perfect","If only we ___ the house when it was cheap!","had bought","had buy","would buying","have bought","'If only + past perfect (had + past participle)' expresses strong regret about a past decision. The distractors use impossible verb forms."
"Wish: distinguishing wish + would","Which sentence correctly uses 'wish + would'?","I wish the bus would come on time for once.","I wish I would be taller.","I wish it would rained yesterday.","I wish she would knew the answer.","'Wish + would' is for complaints about others' behaviour or external situations. We don't say 'I wish I would' about ourselves, and 'would' is followed by the base form, not past tense."
"Wish: could for ability","I wish I ___ speak Chinese. It would help at work.","could","can","would","was able","'Wish + could' expresses a desire for an ability you don't have. 'Wish + can' is grammatically incorrect. 'Wish + would' is for complaints, not abilities."
