"title","question","correct","wrong1","wrong2","wrong3","explanation"
"Comparatives: -er vs more","My house is ___ than yours.","bigger","more big","most big","biger","Short adjectives (one syllable) add -er. Big → bigger (double the final consonant)."
"Comparatives: -er vs more","This book is ___ than that one.","more interesting","interestinger","interestingest","more interestinger","Long adjectives (3+ syllables) use 'more' before the adjective. 'Interestinger' is not a word."
"Comparatives: irregular","She is ___ at tennis than me.","better","gooder","more good","more better","'Good' has an irregular comparative: good → better. We never say 'gooder' or 'more good'."
"Comparatives: -er vs more","This street is ___ than the one near the park.","narrower","more narrower","narrowerer","narrowier","Short adjectives add -er: narrow → narrower. The other forms are not real words."
"Comparatives: sentence structure","The weather today is much ___ than yesterday.","colder","more colder","coldier","more coldest","One-syllable adjectives use -er for comparatives. 'Much' adds emphasis: much colder."
"Superlatives: -est vs most","She is the ___ student in the class.","smartest","most smartest","more smartest","smartiest","One-syllable adjectives use -est for superlatives: smart → smartest."
"Superlatives: -est vs most","That was the ___ film I have ever seen.","most boring","boringest","most boringest","more boringer","Long adjectives use 'most' for superlatives: boring → most boring."
"Superlatives: irregular","This is the ___ pizza in town.","best","goodest","bestest","more best","'Good' has an irregular superlative: good → better → best."
"Superlatives: irregular","That was the ___ day of my life.","worst","worsest","most worst","more worse","'Bad' has an irregular superlative: bad → worse → worst."
"Superlatives: sentence structure","Mount Everest is the ___ mountain in the world.","highest","most highest","higherest","more highest","One-syllable adjectives use -est for superlatives: high → highest."
"First conditional: if clause","If it ___ tomorrow, we will stay home.","rains","will rain","will rains","rainning","In the first conditional, the 'if' clause uses the present simple, not 'will'. If + present simple, will + base verb."
"First conditional: result clause","If you study hard, you ___ the exam.","will pass","will passes","will passing","willing pass","In the first conditional, the result clause uses 'will' + base verb: will pass."
"First conditional: if clause","If she ___ early, she will catch the bus.","leaves","will leave","will leaves","leavs","The 'if' clause in a first conditional uses present simple: If she leaves..."
"First conditional: negative","If you ___ eat breakfast, you will be hungry later.","don't","not","no","doesn't","In the first conditional, the 'if' clause uses present simple. With 'you', the negative is 'don't' + base verb."
"First conditional: result clause","If we miss the train, we ___ late for the meeting.","will be","will being","will been","willing be","The result clause uses 'will' + base verb: we will be late."
"First conditional: unless","Which word means 'if not' in: '___ you hurry, you will miss the flight.'","Unless","Iffly","Ifnot","Unif","'Unless' means 'if not'. Unless you hurry = If you don't hurry."
"First conditional: complete","If I ___ enough money, I will buy a new phone.","have","will have","will having","am be having","The 'if' clause uses present simple. 'If I have' (not 'if I will have')."
"First conditional: result clause","If the weather is nice, we ___ to the beach.","will go","will going","will gone","willing go","The result clause in a first conditional uses 'will' + base verb: we will go."
"Adverbs of frequency: position","She ___ late for work.","is never","bes never","never be","doesn't never","Adverbs of frequency go after the verb 'be': She is never late."
