"title","question","correct","wrong1","wrong2","wrong3","explanation"
"Rooms: Kitchen","Where do you cook food?","kitchen","bedroom","bathroom","garden","The kitchen is the room where you prepare and cook meals."
"Rooms: Bedroom","Where do you sleep at night?","bedroom","kitchen","living room","garage","The bedroom is the room with your bed, where you sleep."
"Rooms: Bathroom","Where do you take a shower?","bathroom","bedroom","kitchen","dining room","The bathroom has a shower, a sink, and a toilet."
"Rooms: Living Room","Where does the family sit together to watch TV?","living room","bedroom","kitchen","bathroom","The living room is where the family relaxes together."
"Rooms: Dining Room","Where does the family eat dinner together?","dining room","bathroom","bedroom","garage","The dining room has a big table where the family eats meals."
"Furniture: Chair","What piece of furniture has four legs and a back, made for one person to sit on?","a chair","a lamp","a door","a shelf","A chair is a piece of furniture you sit on, with a back and usually four legs."
"Furniture: Table","Where do you put your plate when you eat?","on the table","on the lamp","on the window","on the door","A table is a flat surface where you put things, like food."
"Furniture: Bed","What do you sleep on?","a bed","a chair","a table","a shelf","A bed is the furniture in your bedroom where you sleep."
"Furniture: Sofa","What is a long, soft seat for two or three people?","a sofa","a chair","a desk","a shelf","A sofa (or couch) is big and soft, and more than one person can sit on it."
"Furniture: Desk","Where do you sit to write or use a computer?","at a desk","at a bed","at a sofa","at a lamp","A desk is a table used for working, writing, or studying."
"Furniture: Shelf","Where do you put books on the wall?","on a shelf","on a bed","on a chair","on a sofa","A shelf is a flat board on the wall where you store books or objects."
"Family: Mother","Who is your female parent?","mother","father","brother","uncle","Your mother is the woman who is your parent."
"Family: Father","Who is your male parent?","father","mother","sister","aunt","Your father is the man who is your parent."
"Family: Sister","What do you call the girl who has the same parents as you?","sister","brother","mother","daughter","Your sister is a girl or woman who has the same parents as you."
"Family: Brother","What do you call the boy who has the same parents as you?","brother","sister","father","son","Your brother is a boy or man who has the same parents as you."
"Family: Grandmother","Who is your mother's mother?","grandmother","grandfather","aunt","sister","Your grandmother is the mother of your mother or father."
"Family: Grandfather","Who is your father's father?","grandfather","grandmother","uncle","brother","Your grandfather is the father of your mother or father."
"Family: Son","What do parents call their male child?","son","daughter","nephew","uncle","A son is a boy or man in relation to his parents."
"Family: Daughter","What do parents call their female child?","daughter","son","niece","aunt","A daughter is a girl or woman in relation to her parents."
"Family: Uncle","Who is your mother's brother?","uncle","aunt","grandfather","cousin","Your uncle is the brother of your mother or father."
"Body: Head","What is the top part of your body?","head","hand","foot","arm","Your head is at the top. It has your face, eyes, and brain."
"Body: Arm","What body part connects your shoulder to your hand?","arm","leg","neck","foot","Your arm goes from your shoulder down to your hand."
"Body: Hand","What do you use to hold things?","hand","foot","head","leg","Your hand is at the end of your arm. It has five fingers."
"Body: Eye","What do you see with?","eye","ear","nose","mouth","Your eyes let you see the world around you."
"Body: Ear","What do you hear with?","ear","eye","nose","mouth","Your ears are on the sides of your head. You use them to hear."
"Body: Nose","What do you smell with?","nose","ear","eye","mouth","Your nose is in the middle of your face. You use it to smell."
"Body: Mouth","What do you eat and talk with?","mouth","nose","ear","eye","Your mouth is on your face. You use it to eat food and to speak."
"Body: Leg","What body part do you use to walk and kick?","leg","arm","hand","neck","Your leg is the long body part between your hip and your foot."
"Body: Foot","What is at the bottom of your leg?","foot","hand","head","arm","Your foot is at the end of your leg. You stand on your feet."
"Body: Finger","What are the five small parts at the end of your hand?","fingers","toes","ears","eyes","Fingers are the five thin parts on each hand."
"Home: Door","What do you open to enter a room?","a door","a window","a lamp","a shelf","A door opens and closes so you can go in and out of a room."
"Home: Window","What do you look through to see outside?","a window","a door","a wall","a floor","A window is made of glass. You can see outside through it."
"Home: Lamp","What gives light in a dark room?","a lamp","a chair","a table","a door","A lamp makes light so you can see when it is dark."
"Home: Wall","What are the flat sides of a room?","walls","floors","doors","windows","Walls are the vertical surfaces around a room."
"Home: Floor","What do you walk on inside a room?","the floor","the wall","the ceiling","the door","The floor is the flat surface at the bottom of a room."
"Home: Roof","What is on top of a house?","the roof","the floor","the wall","the door","The roof covers the top of a house and keeps rain out."
"Descriptions: Tall","How do you describe a person who is NOT short?","tall","thin","heavy","young","A tall person has a large height."
"Descriptions: Short","How do you describe a person who is NOT tall?","short","tall","fat","old","A short person has a small height."
"Descriptions: Old","How do you describe a person who is NOT young?","old","young","tall","thin","An old person has lived many years."
"Descriptions: Young","How do you describe a child?","young","old","tall","fat","A young person has not lived many years."
"Descriptions: Hair","What grows on top of your head?","hair","eyes","ears","teeth","Hair grows on your head. It can be long or short."
"Family Context","A girl with the same mother and father as me is my ___.","sister","aunt","grandmother","daughter","A girl who shares your parents is your sister."
"Body Context","I wear a hat on my ___.","head","hand","foot","arm","A hat goes on your head."
"Home Context","I turn on the ___ when the room is dark.","lamp","door","window","chair","You turn on a lamp to make light in a dark room."
"Furniture Context","I sit on a ___ at the dining table.","chair","bed","shelf","lamp","You sit on a chair when you eat at the table."
"Room Context","The fridge is in the ___.","kitchen","bedroom","bathroom","living room","A fridge keeps food cold and is found in the kitchen."
"Family Context 2","My father's mother is my ___.","grandmother","mother","aunt","sister","Your father's mother is your grandmother."
"Body Context 2","I write with my ___.","hand","foot","head","leg","You hold a pen in your hand to write."
"Description Context","A person who is 90 years old is very ___.","old","young","short","thin","Someone who has lived 90 years is old."
"Home Context 2","I look through the ___ to see the garden.","window","door","wall","floor","A window is made of glass, and you can see outside through it."
