"title","question","correct","wrong1","wrong2","wrong3","explanation"
"Second conditional: were for all subjects","'If he ___ taller, he could reach the shelf.' Which completes the second conditional?","were","would be","been","be","The second conditional uses past simple in the if-clause: 'If he were taller...' 'Would be' belongs only in the result clause, and 'been'/'be' are wrong verb forms after the subject."
"Second conditional: I wish + past","'I wish I ___ how to play the piano.' Which is correct?","knew","know","would know","have known","'I wish' + past simple expresses a desire about the present. 'I wish I knew' means 'I don't know, but I want to.' This follows the same unreal-past pattern as the second conditional."
"Second conditional: I wish + were","'I wish it ___ so cold today.' Which is correct?","weren't","isn't","wouldn't be","won't be","After 'I wish,' we use past simple for present wishes. 'I wish it weren't so cold' = it IS cold and I don't like it. 'Weren't' is used because it's an unreal situation."
"Second conditional: if only","'If only we ___ more time, we could finish the project.' Which is correct?","had","have","would have","will have","'If only' works like 'I wish' — it takes the past simple for present unreal situations. 'If only we had more time' = we don't have enough time right now."
"Second conditional: past simple in if-clause","'It would be nice if you ___ me with this.' Which completes the second conditional?","helped","helping","to help","will helped","In 'It would be nice if you...' the if-clause takes past simple: 'helped.' The other options are wrong verb forms: gerund, infinitive, and a nonsense mix of 'will' and past tense."
"Second conditional: mixed formality","'If I ___ the manager, I'd change the policy.' Which completes the second conditional?","were","would be","am","was being","The second conditional pairs 'I'd change' with past simple in the if-clause: 'If I were the manager.' 'Would be' wrongly puts 'would' in both clauses; 'am' is present tense; 'was being' is progressive and doesn't fit a hypothetical identity."
"Second conditional: negative wish","'I wish I ___ so tired all the time.' Which is correct?","weren't","am not","haven't been","don't be","'I wish' + past simple for present situations you want to change. 'I wish I weren't so tired' = I AM tired and I don't like it. 'Weren't' follows the unreal-past pattern. You can't use present tense ('am not') or present perfect ('haven't been') after 'wish' for a current ongoing state."
"Second conditional: suppose","'Suppose you ___ a million euros tomorrow. What would you buy?' Which completes the second conditional?","won","would win","will win","winned","'Suppose' can introduce a second conditional just like 'if.' The verb takes past simple: 'Suppose you won a million euros.' 'Would win' wrongly puts 'would' in the if-clause; 'will win' is future indicative; 'winned' is not an English word."
"Second conditional: would in the wrong clause","Which sentence is CORRECT?","If I had a garden, I would grow tomatoes.","If I would have a garden, I would grow tomatoes.","If I would had a garden, I grew tomatoes.","If I will have a garden, I would grow tomatoes.","Never put 'would' in the if-clause of a second conditional. The pattern is: If + past simple, would + base verb. 'If I had a garden, I would grow tomatoes.'"
"Second conditional: wish + could","'I wish I ___ speak Japanese fluently.' Which is correct?","could","can","would","am able to","'I wish I could...' expresses a desire for an ability you don't have. 'Could' is the past form of 'can' and fits the unreal-past pattern of wish sentences."
"Relative clauses: omitting the pronoun","'The book ___ I bought yesterday is really good.' Which is correct?","(no word needed)","which it","what","whom","When the relative pronoun is the OBJECT of the clause ('I bought the book'), you can omit it entirely. 'The book I bought' is natural. 'Which' is optional here — but leaving it out is the key skill."
"Relative clauses: whose","'That's the woman ___ dog bit my neighbour.' Which is correct?","whose","who's","which","who her","'Whose' shows possession in relative clauses: 'the woman whose dog...' means the dog belongs to her. Don't confuse 'whose' (possessive) with 'who's' (who is)."
"Relative clauses: whose with things","'It's a company ___ products are sold worldwide.' Which is correct?","whose","which","who's","that its","'Whose' can refer to things, not just people. 'A company whose products...' is correct and natural. 'Which its' or 'that its' would be ungrammatical."
"Relative clauses: whom (formal)","'The person to ___ you should speak is Mr Davis.' Which is correct?","whom","who","which","that","After a preposition ('to'), use 'whom' in formal English. 'The person to whom you should speak...' In casual speech, people say 'who you should speak to,' but the formal version keeps the preposition before 'whom.'"
"Relative clauses: preposition at end","'That's the colleague ___ I was telling you about.' Which is correct?","(no word needed)","about whom it","which about","whom about","In informal English, the preposition goes at the end and the pronoun is omitted: 'the colleague I was telling you about.' This is the natural spoken form."
"Relative clauses: where vs which","'The restaurant ___ we had dinner was fantastic.' Which is correct?","where","which","that","in where","Use 'where' for places without a preposition: 'the restaurant where we had dinner.' Alternatively you could say 'at which,' but 'in where' is never correct."
