"title","question","correct","wrong1","wrong2","wrong3","explanation"
"Media: broadcast","'The show was ___ live on national television.' Which word fits?","broadcast","broadcasting","broadcasted","broadcasts","'Broadcast' is the past participle (broadcast–broadcast–broadcast). After 'was', we need a past participle: 'was broadcast'. 'Broadcasting' is -ing, 'broadcasts' is present, and 'broadcasted' is non-standard."
"Media: headline","'The story made ___ in every newspaper.' Which word fits?","headlines","headliner","headlined","heading","The fixed expression is 'to make headlines' (plural noun). 'Headliner' is a person, 'headlined' is a verb form, and 'heading' does not fit this collocation."
"Media: the press","Which phrase refers to journalists and news organisations collectively?","the press","the presser","the pressings","the presses","'The press' is the uncountable collective term for journalists and news media. 'Presses' is the plural of a printing machine; 'presser' and 'pressings' are not used this way."
"Media: coverage","'There was extensive media ___ of the election.' Which word fits?","coverage","covering","covered","coverings","'Media coverage' is the standard noun collocation. 'Covering' and 'coverings' are different nouns (a layer on top of something); 'covered' is a past form and does not fit."
"Media: journalist","Which word means a person whose job is to gather information and write news stories?","journalist","journalism","journaling","journalise","'Journalist' is the person. 'Journalism' is the profession/activity, 'journaling' is keeping a personal diary, and 'journalise' is not a standard English word in this sense."
"Media: article","'She wrote an ___ about climate change for the magazine.' Which word fits?","article","articling","articled","articulate","An 'article' is a piece of writing in a newspaper or magazine. 'Articling' and 'articled' are not nouns for a magazine piece; 'articulate' is an adjective/verb meaning to speak clearly."
"Media: streaming","Which word means watching video or listening to audio online in real time, without saving it to your device?","streaming","streamed","streamy","streamer","'Streaming' is the gerund/activity noun. 'Streamed' is a past form, 'streamer' is the person or service, and 'streamy' is not a word."
"Media: social media","'She shared the photo on ___.' Which phrase fits?","social media","social medias","a social media","the social medias","'Social media' is uncountable and takes no article in this general use: 'on social media'. The plural 'medias' and the articled forms are ungrammatical."
"Media: subscribe","'You need to ___ to the channel to get notifications.' Which word fits?","subscribe","subscription","subscribed","subscribing","After 'need to' we need the bare infinitive 'subscribe'. 'Subscription' is a noun, 'subscribed' is past, and 'subscribing' is -ing — none fit after 'need to'."
"Media: viewer","Which word means a person who watches television?","viewer","viewing","viewed","viewest","'Viewer' is the noun for a person who watches TV. 'Viewing' is the activity, 'viewed' is a past form, and 'viewest' is not a word."
"Culture: exhibition","Which word means a public display of art or objects in a gallery or museum?","exhibition","exhibitor","exhibiting","exhibited","An 'exhibition' is the event or display itself. An 'exhibitor' is a person or company showing work at one; 'exhibiting' and 'exhibited' are verb forms."
"Culture: performance","Which word means an occasion when actors, musicians, or dancers perform live for an audience?","performance","performer","performing","performative","A 'performance' is the event. A 'performer' is the person; 'performing' is -ing; 'performative' is an adjective with a different meaning."
"Culture: audience","Which word means the group of people watching a show, film, or concert?","audience","audient","audiences's","audiencer","'Audience' is the collective noun. 'Audient', 'audiencer', and the mangled possessive are not standard English words."
"Culture: review","Which word means a written critical evaluation of a film, book, or show?","review","reviewer","reviewed","reviewal","A 'review' is the piece of writing. A 'reviewer' is the person who writes it; 'reviewed' is a past form; 'reviewal' is not standard."
"Culture: bestseller","Which word means a book that sells a very large number of copies?","bestseller","bestselled","bestselling","bestsale","'Bestseller' is the noun for the book itself. 'Bestselling' is the adjective (a bestselling novel); 'bestselled' and 'bestsale' are not words."
"Culture: sculpture","'There was a large bronze ___ in the centre of the park.' Which word fits?","sculpture","sculptor","sculpted","sculptural","A 'sculpture' is the 3D artwork. A 'sculptor' is the artist who makes it; 'sculpted' is a verb form; 'sculptural' is an adjective."
"Culture: genre","'Horror, comedy, and romance are all examples of different ___.' Which word fits?","genres","genre's","genrely","genric","The plural noun 'genres' is needed after 'different'. 'Genre's' is a mis-formed possessive; 'genrely' and 'genric' are not words."
"Culture: rehearsal","Which word means a practice session held before a performance?","rehearsal","rehearser","rehearsing","rehearsement","A 'rehearsal' is the practice session. A 'rehearser' (rare) would be a person; 'rehearsing' is -ing; 'rehearsement' is not a word."
"Technology: app","Which word is short for a software application, especially on a smartphone?","app","apping","apped","apps's","'App' is short for 'application'. 'Apping' and 'apped' are not standard nouns; 'apps's' is a mis-formed possessive."
"Technology: download","Which word means to copy a file from the internet onto your own device?","download","upload","install","refresh","To 'download' is to transfer a file from a remote server to your device. 'Upload' is the opposite direction, 'install' means to set up software after copying it, and 'refresh' means to reload a page."
"Technology: update","Which word means to install the latest version of software you already have?","update","updating","updated","updatement","'Update' is the base verb/noun. 'Updating' is -ing, 'updated' is past, and 'updatement' is not a word."
"Technology: device","Which word is the general term for a piece of electronic equipment like a phone or tablet?","device","devicer","devicing","deviced","'Device' is the standard general noun. 'Devicer', 'devicing', and 'deviced' are not standard English words."
"Technology: password","Which word means a secret string of characters used to access an account?","password","passworder","passwording","passworded","'Password' is the noun. 'Passworder', 'passwording', and 'passworded' are not standard English words."
"Technology: software","'The company develops ___ for managing business finances.' Which word fits?","software","softwares","a software","softwaring","'Software' is uncountable: no plural 's' and no article 'a' in this use. 'Softwaring' is not a word."
"Technology: data","Which word means information collected and stored in digital form?","data","datas","datum's","datafying","'Data' is the standard (usually uncountable) noun. 'Datas' is not standard English; 'datum's' is a mis-formed possessive; 'datafying' is not a word."
"Technology: charge","'I need to ___ my phone before we leave — the battery is almost empty.' Which word fits?","charge","charger","chargement","charging's","'Charge' is the base verb meaning to refill a battery. 'Charger' is the noun for the device you plug in, 'chargement' is not an English word, and 'charging's' is a mis-formed possessive of the -ing form."
