"title","question","correct","wrong1","wrong2","wrong3","explanation"
"Gezondheid: hoofdpijn","Wat heb je als je hoofd zeer doet?","hoofdpijn","buikpijn","keelpijn","rugpijn","Als je hoofd pijn doet, heb je 'hoofdpijn'. 'Buikpijn' is in je buik, 'keelpijn' in je keel."
"Gezondheid: koorts","Hoe heet een lichaamstemperatuur boven de 38 graden?","koorts","hoest","wond","pleister","Een lichaamstemperatuur boven 38 graden heet 'koorts'. 'Hoest' is een geluid, 'wond' en 'pleister' horen bij verwondingen."
"Gezondheid: medicijn","Wat neem je in als je ziek bent?","een medicijn","een recept","een afspraak","een verband","Je neemt een 'medicijn' in om beter te worden. Een 'recept' krijg je van de dokter om het medicijn te halen."
"Gezondheid: afspraak","Je gaat naar de dokter. Wat moet je eerst maken?","een afspraak","een recept","een onderzoek","een behandeling","Voordat je naar de dokter gaat, maak je een 'afspraak'. Dat is een vastgelegde tijd."
"Gezondheid: apotheek","Waar haal je medicijnen?","bij de apotheek","bij de bakker","bij de kapper","bij de slager","Je haalt medicijnen bij de 'apotheek'. De bakker verkoopt brood, de kapper knipt haar."
"Gezondheid: verkouden","Je niest veel en je neus is verstopt. Wat ben je?","verkouden","moe","duizelig","misselijk","Niezen en een verstopte neus betekent dat je 'verkouden' bent."
"Gezondheid: hoesten","Je maakt steeds 'kuch kuch'. Wat doe je?","hoesten","niezen","slikken","ademen","'Kuch kuch' is het geluid van hoesten. Niezen klinkt anders: 'hatsjoe'."
"Gezondheid: pijn","Mijn keel doet zeer. Ik heb ___","keelpijn","hoofdpijn","buikpijn","oorpijn","Als je keel zeer doet, heb je 'keelpijn'. In het Nederlands plak je het lichaamsdeel aan 'pijn'."
"Gezondheid: huisarts","Hoe heet de dokter waar je normaal naartoe gaat?","de huisarts","de tandarts","de specialist","de chirurg","De 'huisarts' is je vaste dokter voor algemene klachten. De tandarts is voor je tanden."
"Gezondheid: recept","Wat schrijft de dokter voor medicijnen?","een recept","een afspraak","een verwijzing","een factuur","De dokter schrijft een 'recept' zodat je medicijnen kunt halen bij de apotheek."
"Gezondheid: ziek","Je hebt koorts en buikpijn. Je bent ___","ziek","moe","boos","bang","Als je koorts en pijn hebt, ben je 'ziek'. 'Moe' betekent dat je wilt slapen."
"Gezondheid: beter","Na een week ben je niet meer ziek. Je voelt je weer ___","beter","ziek","erger","minder","Als je niet meer ziek bent, voel je je 'beter'. Het tegenovergestelde is 'erger'."
"Gezondheid: griep","Je hebt koorts, spierpijn en je bent heel moe. Wat heb je waarschijnlijk?","griep","hoofdpijn","allergie","een wond","Koorts + spierpijn + heel moe = typische symptomen van 'griep'."
"Tijd: kwart over","Hoe laat is het? 10:15","kwart over tien","kwart voor tien","half tien","tien over tien","10:15 = 'kwart over tien'. 'Kwart' is 15 minuten na het hele uur."
"Tijd: half","Hoe laat is het? 9:30","half tien","half negen","kwart over negen","negen uur","9:30 = 'half tien' in het Nederlands. Je kijkt naar het volgende uur!"
"Tijd: kwart voor","Hoe laat is het? 7:45","kwart voor acht","kwart over zeven","half acht","kwart voor zeven","7:45 = 'kwart voor acht'. Het is 15 minuten voor het volgende uur."
"Tijd: tien over","Hoe laat is het? 3:10","tien over drie","tien voor drie","kwart over drie","half drie","3:10 = 'tien over drie'. Het is 10 minuten na drie uur."
"Tijd: tien voor","Hoe laat is het? 5:50","tien voor zes","tien over vijf","kwart voor zes","half zes","5:50 = 'tien voor zes'. Het is 10 minuten voor het volgende uur (zes)."
"Tijd: vijf voor half","Hoe laat is het? 2:25","vijf voor half drie","vijf over half twee","kwart over twee","half twee","2:25 = 'vijf voor half drie'. Half drie = 2:30, dus vijf minuten daarvoor."
"Tijd: vijf over half","Hoe laat is het? 4:35","vijf over half vijf","vijf voor half vier","kwart voor vijf","half vier","4:35 = 'vijf over half vijf'. Half vijf = 4:30, dus vijf minuten daarna."
"Tijd: heel uur","Hoe laat is het? 6:00","zes uur","half zes","kwart over zes","kwart voor zes","6:00 = 'zes uur'. Geen minuten erbij, dus alleen het uur."
"Tijd: 's ochtends","Je staat op om 7 uur. Dat is 7 uur ___","'s ochtends","'s middags","'s avonds","'s nachts","7 uur opstaan is 's ochtends. De ochtend is van ongeveer 6 tot 12 uur."
"Tijd: 's middags","Je luncht om 12:30. Dat is ___","'s middags","'s ochtends","'s avonds","'s nachts","12:30 is 's middags. De middag is van ongeveer 12 tot 18 uur."
"Tijd: 's avonds","Je eet om 18:30. Dat is ___","'s avonds","'s middags","'s ochtends","'s nachts","18:30 is 's avonds. De avond is van ongeveer 18 tot 24 uur."
"Routine: opstaan","De wekker gaat. Wat doe je?","opstaan","aankleden","ontbijten","douchen","Als de wekker gaat, sta je op. 'Opstaan' = uit bed komen."
"Routine: douchen","Je staat onder de warme straal water in de badkamer. Je bent aan het ___","douchen","ontbijten","koken","sporten","Onder de straal water = 'douchen'. De andere werkwoorden doe je niet in de douche."
"Routine: aankleden","Na het douchen trek je kleren aan. Dat heet je ___","aankleden","uitkleden","wassen","drogen","Kleren aantrekken = 'je aankleden'. Het tegenovergestelde is 'je uitkleden'."
"Routine: ontbijten","Om 8 uur eet je brood met kaas. Dat is ___","ontbijten","lunchen","snacken","avondeten","De eerste maaltijd van de dag is 'ontbijten'. Lunch is de tweede maaltijd."
"Routine: tandenpoetsen","Na het eten poets je je ___","tanden","handen","haren","voeten","Na het eten poets je je tanden met een tandenborstel en tandpasta."
"Routine: naar bed gaan","Om 23:00 ga je slapen. Je gaat naar ___","bed","school","werk","buiten","'s Avonds laat ga je naar bed om te slapen."
"Routine: wakker worden","De wekker gaat af en je opent je ogen. Je wordt ___","wakker","moe","ziek","boos","Als je ogen opengaan en je niet meer slaapt, word je 'wakker'."
"Routine: klaarmaken","Je maakt je klaar voor werk. 'Klaarmaken' betekent:","je voorbereiden","je wassen","je haasten","je vergissen","'Je klaarmaken' = alles doen om klaar te zijn: douchen, aankleden, ontbijten."
"Routine: vertrekken","Je gaat om 8:30 de deur uit. Je ___ om 8:30.","vertrekt","aankomt","begint","stopt","De deur uitgaan naar je werk = 'vertrekken'. 'Aankomen' is op je bestemming zijn."
"Routine: thuiskomen","Om 17:30 ben je weer thuis na je werk. Je ___ om 17:30.","komt thuis","vertrekt","begint","staat op","Na je werk weer thuis zijn = 'thuiskomen'. Het is een scheidbaar werkwoord."
"Frequentie: altijd","Ik ___ elke dag om 7 uur op. (100% van de tijd)","sta altijd","sta soms","sta zelden","sta nooit","'Altijd' = 100% van de tijd, elke keer. Het tegenovergestelde is 'nooit'."
"Frequentie: vaak","Ik sport ___ , drie of vier keer per week.","vaak","zelden","nooit","altijd","Drie of vier keer per week is 'vaak'. 'Altijd' zou elke dag zijn."
"Frequentie: soms","Ik ga ___ naar de bioscoop, misschien een keer per maand.","soms","altijd","vaak","nooit","Een keer per maand is 'soms'. Niet vaak, maar ook niet nooit."
