"title","question","correct","wrong1","wrong2","wrong3","explanation"
"Voltooid deelwoord: hebben","'Ik ___ een boek gelezen.' Wat is correct?","heb","ben","heeft","had","Bij 'ik' gebruik je 'heb' als hulpwerkwoord: 'Ik heb gelezen.'"
"Voltooid deelwoord: zijn","'Zij ___ naar huis gegaan.' Wat is correct?","is","heeft","ben","was","Werkwoorden van beweging gebruiken 'zijn': 'Zij is gegaan.'"
"Voltooid deelwoord: wij","'Wij ___ de hele dag gewerkt.' Wat is correct?","hebben","zijn","heeft","hadden","Bij 'wij' gebruik je 'hebben': 'Wij hebben gewerkt.'"
"Voltooid deelwoord: hij","'Hij ___ gisteren gefietst.' Wat is correct?","heeft","hebben","is","had","Bij 'hij' gebruik je 'heeft': 'Hij heeft gefietst.'"
"Voltooid deelwoord: zijn (beweging)","'De kinderen ___ naar school gelopen.' Wat is correct?","zijn","hebben","is","was","'Lopen' (met richting) gebruikt 'zijn': 'De kinderen zijn gelopen.'"
"Voltooid deelwoord: ge- + -t","'Ik heb de kamer ___.' (schoonmaken) Wat is correct?","schoongemaakt","geschoonmaakt","schoonmaakte","gemaakt schoon","Bij scheidbare werkwoorden komt 'ge-' tussen de delen: 'schoongemaakt.'"
"Voltooid deelwoord: ge- + -d","'Zij heeft lang ___.' (studeren) Wat is correct?","gestudeerd","studeerd","gestudeert","studeerde","De stam eindigt op een klinker, dus het voltooid deelwoord is 'gestudeerd' (ge- + stam + -d)."
"Voltooid deelwoord: ge- + -en","'We hebben goed ___.' (slapen) Wat is correct?","geslapen","geslaapd","geslapt","slaapte","'Slapen' is een sterk werkwoord. Het voltooid deelwoord is 'geslapen' (ge- + -en)."
"Hebben of zijn?","'Hij ___ in Amsterdam gewoond.' Wat is correct?","heeft","is","ben","zijn","'Wonen' is geen bewegingswerkwoord. Je gebruikt 'hebben': 'Hij heeft gewoond.'"
"Hebben of zijn? (2)","'Ik ___ vanmorgen vroeg opgestaan.' Wat is correct?","ben","heb","heeft","was","'Opstaan' is een verandering van toestand. Je gebruikt 'zijn': 'Ik ben opgestaan.'"
"Hebben of zijn? (3)","'De trein ___ al vertrokken.' Wat is correct?","is","heeft","ben","hebben","'Vertrekken' is een bewegingswerkwoord. Je gebruikt 'zijn': 'De trein is vertrokken.'"
"Hebben of zijn? (4)","'Wij ___ veel koffie gedronken.' Wat is correct?","hebben","zijn","heeft","hadden","'Drinken' gebruikt 'hebben': 'Wij hebben gedronken.'"
"Scheidbaar werkwoord: opbellen","'Ik ___ je morgen ___.' (opbellen, tegenwoordige tijd) Wat is correct?","bel ... op","opbel","belop","op ... bel","In een hoofdzin splits je het werkwoord: 'Ik bel je op.'"
"Scheidbaar werkwoord: meenemen","'Kun je een paraplu ___?' (meenemen) Wat is correct?","meenemen","neem mee","mee te nemen","meeneemt","Na 'kunnen' blijft het scheidbare werkwoord heel: 'Kun je meenemen?'"
"Scheidbaar werkwoord: aankomen","'De bus ___ om drie uur ___.' (aankomen) Wat is correct?","komt ... aan","aankomt","komt ... op","aan ... komt","In een hoofdzin splits je 'aankomen': 'De bus komt aan.'"
"Scheidbaar werkwoord: uitgaan","'Wij ___ vanavond ___.' (uitgaan) Wat is correct?","gaan ... uit","uitgaan wij","gaat ... uit","uit ... gaat","In een hoofdzin: 'Wij gaan uit.' Het voorvoegsel gaat naar het einde."
"Scheidbaar werkwoord: boodschappen doen","'Hij ___ elke zaterdag boodschappen.' (doen) Wat is correct?","doet","doent","doet ... op","doet ... aan","'Boodschappen doen' is niet scheidbaar. 'Hij doet boodschappen.'"
"Scheidbaar werkwoord: opruimen","'Zij ___ haar kamer ___.' (opruimen) Wat is correct?","ruimt ... op","opruimt","ruimten ... op","op ... ruimt","In een hoofdzin splits je 'opruimen': 'Zij ruimt op.'"
"Scheidbaar werkwoord in bijzin","'Ik weet dat de trein om acht uur ___.' (aankomen) Wat is correct?","aankomt","komt ... aan","aan komt","komt aan","In een bijzin (na 'dat') blijft het scheidbare werkwoord aan elkaar: 'aankomt.'"
"Scheidbaar werkwoord in bijzin (2)","'Zij zegt dat ze morgen vroeg ___.' (opstaan) Wat is correct?","opstaat","staat ... op","op staat","staat op","Na 'dat' komt het werkwoord aan het einde en blijft het heel: 'opstaat.'"
"Scheidbaar werkwoord: voltooid deelwoord","'Ik heb de deur ___.' (dichtdoen) Wat is correct?","dichtgedaan","gedichtdaan","dicht gedaan","gedaan dicht","Bij het voltooid deelwoord komt 'ge-' tussen de delen: 'dichtgedaan.'"
"Voegwoord: want","'Ik blijf thuis, want ik ___ ziek.' Wat is correct?","ben","ziek ben","is","ziek is","Na 'want' blijft de woordvolgorde normaal (SVO): 'want ik ben ziek.'"
"Voegwoord: omdat","'Ik blijf thuis omdat ik ziek ___.' Wat is correct?","ben","is","heb","word","Na 'omdat' gaat het werkwoord naar het einde: 'omdat ik ziek ben.'"
"Voegwoord: dat","'Hij zegt dat hij morgen ___.' (komen) Wat is correct?","komt","kom","zal komen hij","hij komt","Na 'dat' gaat het werkwoord naar het einde: 'dat hij morgen komt.'"
"Voegwoord: als","'___ het regent, neem ik een paraplu mee.' Welk voegwoord drukt een voorwaarde ('if') uit?","Als","Of","Dan","Wanneerd","'Als' = 'if'. Het introduceert een voorwaarde: 'Als het regent...' ('Of', 'dan' en 'wanneerd' passen hier niet als voorwaardelijk voegwoord.)"
