"title","question","correct","wrong1","wrong2","wrong3","explanation"
"Beroepen","Iemand die zieke mensen in het ziekenhuis helpt, is een ___.","verpleger","advocaat","kok","monteur","Een verpleger werkt in het ziekenhuis en zorgt voor patienten."
"Beroepen","Iemand die les geeft op school, is een ___.","leraar","leerling","directeur","schrijver","Een leraar geeft les aan leerlingen op school."
"Beroepen","Iemand die eten klaarmaakt in een restaurant, is een ___.","kok","ober","bakker","slager","Een kok bereidt maaltijden in de keuken van een restaurant."
"Beroepen","Iemand die mensen helpt met de wet, is een ___.","advocaat","boer","bakker","verpleger","Een advocaat geeft juridisch advies en helpt mensen in de rechtbank."
"Beroepen","Iemand die auto's repareert, is een ___.","monteur","chauffeur","piloot","machinist","Een monteur repareert auto's en andere machines in een garage."
"Beroepen","Iemand die artikelen schrijft voor de krant, is een ___.","journalist","fotograaf","drukker","bezorger","Een journalist schrijft nieuwsartikelen voor kranten of websites."
"Beroepen","Iemand die gebouwen ontwerpt, is een ___.","architect","aannemer","schilder","timmerman","Een architect maakt tekeningen en plannen voor nieuwe gebouwen."
"Beroepen","Iemand die je haar knipt, is een ___.","kapper","tandarts","schoonmaker","naaister","Een kapper knipt, wast en stylet haar in een kapsalon."
"Beroepen","Iemand die brood en taarten bakt, is een ___.","bakker","kok","slager","ober","Een bakker bakt brood, taarten en gebak in een bakkerij."
"Beroepen","Iemand die dieren beter maakt, is een ___.","dierenarts","tandarts","huisarts","verpleger","Een dierenarts helpt zieke dieren, net zoals een huisarts mensen helpt."
"Opleiding","De toets aan het einde van het schooljaar heet het ___.","examen","huiswerk","cijfer","diploma","Het examen is een grote toets aan het einde van een cursus of schooljaar."
"Opleiding","Opdrachten die je thuis moet maken voor school, heten ___.","huiswerk","examen","college","tentamen","Huiswerk zijn opdrachten die leerlingen thuis maken na schooltijd."
"Opleiding","Een nummer dat je krijgt voor een toets, is een ___.","cijfer","diploma","examen","semester","Een cijfer (bijvoorbeeld een 7 of een 8) laat zien hoe goed je het deed."
"Opleiding","De helft van een studiejaar heet een ___.","semester","trimester","vakantie","schooljaar","Een semester duurt ongeveer vijf maanden; een studiejaar heeft twee semesters."
"Opleiding","Het papier dat je krijgt als je je opleiding afrondt, is een ___.","diploma","cijfer","rapport","boek","Een diploma bewijst dat je je opleiding succesvol hebt afgerond."
"Opleiding","Een les op de universiteit heet een ___.","college","huiswerk","examen","pauze","Een college is een les die een professor geeft aan studenten op de universiteit."
"Opleiding","Een vak als wiskunde of geschiedenis heet een ___.","schoolvak","diploma","semester","rapport","Een schoolvak is een onderwerp dat je op school leert, zoals wiskunde."
