"title","question","correct","wrong1","wrong2","wrong3","explanation"
"Ενεστώτας Α' (-ω): εγώ","«Εγώ ___ ένα γράμμα.» Ποια είναι η σωστή μορφή;","γράφω","γράφεις","γράφει","γράφουν","Με το εγώ τα ρήματα Α' τάξης (-ω) τελειώνουν σε -ω: εγώ γράφω, εγώ πίνω."
"Ενεστώτας Α' (-ω): εσύ","«Εσύ ___ νερό.» Ποια είναι η σωστή μορφή;","πίνεις","πίνω","πίνει","πίνουν","Με το εσύ τα ρήματα Α' τάξης τελειώνουν σε -εις: εσύ πίνεις, εσύ γράφεις."
"Ενεστώτας Α' (-ω): αυτός","«Ο Νίκος ___ στο σχολείο.» Ποια είναι η σωστή μορφή;","πηγαίνει","πηγαίνω","πηγαίνεις","πηγαίνουμε","Με αυτός/αυτή/αυτό τα ρήματα Α' τάξης τελειώνουν σε -ει: αυτός πηγαίνει."
"Ενεστώτας Α' (-ω): εμείς","«Εμείς ___ στο σπίτι.» Ποια είναι η σωστή μορφή;","μένουμε","μένω","μένεις","μένουν","Με το εμείς τα ρήματα Α' τάξης τελειώνουν σε -ουμε: εμείς μένουμε."
"Ενεστώτας Α' (-ω): εσείς","«Εσείς ___ ελληνικά.» Ποια είναι η σωστή μορφή;","μαθαίνετε","μαθαίνω","μαθαίνει","μαθαίνουμε","Με το εσείς τα ρήματα Α' τάξης τελειώνουν σε -ετε: εσείς μαθαίνετε."
"Ενεστώτας Α' (-ω): αυτοί","«Τα παιδιά ___ στην παραλία.» Ποια είναι η σωστή μορφή;","παίζουν","παίζω","παίζεις","παίζετε","Με αυτοί/αυτές/αυτά τα ρήματα Α' τάξης τελειώνουν σε -ουν: αυτοί παίζουν."
"Ενεστώτας Α' (-ω): αυτή","«Η Μαρία ___ βιβλία.» Ποια είναι η σωστή μορφή;","διαβάζει","διαβάζεις","διαβάζω","διαβάζουν","Με αυτός/αυτή/αυτό τελειώνει σε -ει: η Μαρία διαβάζει. Δεν αλλάζει από το αυτός."
"Ενεστώτας Β' (-ώ): εγώ","«Εγώ ___ ελληνικά.» Ποια είναι η σωστή μορφή;","μιλώ","μιλάς","μιλά","μιλάμε","Με το εγώ τα ρήματα Β' τάξης (-ώ) τελειώνουν σε -ώ: εγώ μιλώ, εγώ αγαπώ."
"Ενεστώτας Β' (-ώ): εσύ","«Εσύ ___ πολύ τη μουσική.» Ποια είναι η σωστή μορφή;","αγαπάς","αγαπώ","αγαπά","αγαπάμε","Με το εσύ τα ρήματα Β' τάξης τελειώνουν σε -ας: εσύ αγαπάς, εσύ μιλάς."
"Ενεστώτας Β' (-ώ): αυτός","«Ο Κώστας ___ πολύ.» Ποια είναι η σωστή μορφή;","μιλά","μιλώ","μιλάς","μιλάμε","Με αυτός/αυτή/αυτό τα ρήματα Β' τάξης τελειώνουν σε -ά: αυτός μιλά, αυτή μιλά."
"Ενεστώτας Β' (-ώ): εμείς","«Εμείς ___ τον δάσκαλο.» Ποια είναι η σωστή μορφή;","αγαπάμε","αγαπώ","αγαπά","αγαπάτε","Με το εμείς τα ρήματα Β' τάξης τελειώνουν σε -άμε: εμείς αγαπάμε."
"Ενεστώτας Β' (-ώ): εσείς","«Εσείς ___ καλά ελληνικά.» Ποια είναι η σωστή μορφή;","μιλάτε","μιλώ","μιλά","μιλάμε","Με το εσείς τα ρήματα Β' τάξης τελειώνουν σε -άτε: εσείς μιλάτε."
"Ενεστώτας Β' (-ώ): αυτές","«Οι γυναίκες ___ τη θάλασσα.» Ποια είναι η σωστή μορφή;","αγαπάνε","αγαπώ","αγαπάς","αγαπάτε","Με αυτοί/αυτές/αυτά τα ρήματα Β' τάξης τελειώνουν σε -άνε: αυτές αγαπάνε."
"Ενεστώτας Β' (-ώ): αυτή (περνώ)","«Η Ελένη ___ καλά.» Ποια είναι η σωστή μορφή;","περνά","περνώ","περνάς","περνάμε","Το ρήμα περνώ: αυτή περνά. Η κατάληξη -ά ανήκει στο αυτός/αυτή/αυτό."
"Είμαι: εγώ","«Εγώ ___ μαθητής.» Ποια είναι η σωστή μορφή;","είμαι","είσαι","είναι","είμαστε","Το ρήμα είμαι με εγώ: εγώ είμαι. Η κατάληξη -σαι ανήκει στο εσύ."
"Είμαι: εσύ","«Εσύ ___ πολύ καλός.» Ποια είναι η σωστή μορφή;","είσαι","είμαι","είναι","είστε","Το ρήμα είμαι με εσύ: εσύ είσαι. Η κατάληξη -μαι ανήκει στο εγώ."
"Είμαι: αυτός/αυτή","«Η Άννα ___ δασκάλα.» Ποια είναι η σωστή μορφή;","είναι","είμαι","είσαι","είμαστε","Το ρήμα είμαι με αυτός/αυτή/αυτό: είναι. Αυτός/αυτή/αυτό δεν έχουν κατάληξη -μαι ή -σαι."
"Είμαι: εμείς","«Εμείς ___ στην Αθήνα.» Ποια είναι η σωστή μορφή;","είμαστε","είμαι","είναι","είστε","Το ρήμα είμαι με εμείς: είμαστε. Το -στε ανήκει στο εσείς."
"Είμαι: αυτοί","«Οι φοιτητές ___ κουρασμένοι.» Ποια είναι η σωστή μορφή;","είναι","είμαι","είσαι","είμαστε","Το ρήμα είμαι με αυτοί/αυτές/αυτά: είναι. Ο ίδιος τύπος ισχύει και για το αυτός/αυτή/αυτό."
"Έχω: εγώ","«Εγώ ___ ένα αυτοκίνητο.» Ποια είναι η σωστή μορφή;","έχω","έχεις","έχει","έχουμε","Το ρήμα έχω με εγώ: εγώ έχω. Το -εις ανήκει στο εσύ."
"Έχω: εσύ","«Εσύ ___ πολλά βιβλία.» Ποια είναι η σωστή μορφή;","έχεις","έχω","έχει","έχουν","Το ρήμα έχω με εσύ: εσύ έχεις. Το -ω ανήκει στο εγώ."
"Έχω: αυτός","«Ο Γιώργης ___ δύο αδέρφια.» Ποια είναι η σωστή μορφή;","έχει","έχω","έχεις","έχουμε","Το ρήμα έχω με αυτός/αυτή/αυτό: έχει. Το -ουμε ανήκει στο εμείς."
"Έχω: εμείς","«Εμείς ___ ένα σκύλο.» Ποια είναι η σωστή μορφή;","έχουμε","έχω","έχετε","έχουν","Το ρήμα έχω με εμείς: έχουμε. Το -ετε ανήκει στο εσείς."
"Έχω: αυτοί","«Τα κορίτσια ___ πολλούς φίλους.» Ποια είναι η σωστή μορφή;","έχουν","έχω","έχει","έχουμε","Το ρήμα έχω με αυτοί/αυτές/αυτά: έχουν. Το -ει ανήκει στο αυτός/αυτή/αυτό."
"Άρθρο: αρσενικό","Ποιο άρθρο συνοδεύει τη λέξη «πατέρας»;","ο","η","το","οι","Τα αρσενικά ουσιαστικά παίρνουν το άρθρο «ο»: ο πατέρας, ο δάσκαλος, ο άντρας."
"Άρθρο: θηλυκό","Ποιο άρθρο συνοδεύει τη λέξη «γυναίκα»;","η","ο","το","οι","Τα θηλυκά ουσιαστικά παίρνουν το άρθρο «η»: η γυναίκα, η μητέρα, η πόλη."
"Άρθρο: ουδέτερο","Ποιο άρθρο συνοδεύει τη λέξη «παιδί»;","το","ο","η","τα","Τα ουδέτερα ουσιαστικά παίρνουν το άρθρο «το»: το παιδί, το σπίτι, το βιβλίο."
"Άρθρο: επιλογή","«___ σκύλος κοιμάται.» Ποιο άρθρο είναι σωστό;","Ο","Η","Το","Τα","Ο σκύλος είναι αρσενικός, άρα παίρνει το άρθρο «ο»: ο σκύλος."
"Άρθρο: επιλογή (θηλυκό)","«___ θάλασσα είναι μπλε.» Ποιο άρθρο είναι σωστό;","Η","Ο","Το","Οι","Η θάλασσα είναι θηλυκή, άρα παίρνει το άρθρο «η»: η θάλασσα."
"Άρθρο: επιλογή (ουδέτερο)","«___ παράθυρο είναι ανοιχτό.» Ποιο άρθρο είναι σωστό;","Το","Ο","Η","Τα","Το παράθυρο είναι ουδέτερο, άρα παίρνει το άρθρο «το»: το παράθυρο."
"Άρθρο: αρσενικό -ος","Ποιο άρθρο συνοδεύει τη λέξη «δρόμος»;","ο","η","το","οι","Τα αρσενικά ουσιαστικά σε -ος παίρνουν το άρθρο «ο»: ο δρόμος, ο κόσμος."
"Άρθρο: θηλυκό -η","Ποιο άρθρο συνοδεύει τη λέξη «ώρα»;","η","ο","το","τα","Τα θηλυκά ουσιαστικά σε -α ή -η παίρνουν το άρθρο «η»: η ώρα, η νύχτα."
"Ονομαστική: αρσενικό -ος","Ποια είναι η ονομαστική του αρσενικού ουσιαστικού «φίλος»;","ο φίλος","τον φίλο","του φίλου","φίλε","Στην ονομαστική το αρσενικό σε -ος έχει κατάληξη -ος και άρθρο «ο»: ο φίλος."
"Ονομαστική vs αιτιατική: αρσενικό","«___ γιατρός εξετάζει τον ασθενή.» Ποια είναι η σωστή μορφή;","Ο","Τον","Του","Οι","Το υποκείμενο στην ονομαστική παίρνει «ο»: ο γιατρός. Αντικείμενο θα ήταν «τον γιατρό»."
