"title","question","correct","wrong1","wrong2","wrong3","explanation"
"Να + ρήμα: θέλω να","'Θέλω ___ πάω στην παραλία.' Ποια είναι η σωστή μορφή;","να πάω","να πήγαινα","να πήγα","ότι πάω","Μετά το 'θέλω' χρησιμοποιούμε 'να' + υποτακτική αορίστου: 'να πάω'. Το 'να πήγα' δεν υπάρχει — η υποτακτική αορίστου δεν σχηματίζεται από το θέμα 'πήγ-'. Το 'να πήγαινα' είναι παρατατικός — λάθος χρόνος. Το 'ότι' δεν συνδυάζεται έτσι."
"Να + ρήμα: πρέπει να","'Πρέπει ___ φύγουμε τώρα.' Ποια είναι η σωστή μορφή;","να φύγουμε","θα φύγουμε","ότι φύγουμε","να φύγετε","Μετά το 'πρέπει' χρησιμοποιούμε 'να' + υποτακτική: 'να φύγουμε'. Το 'θα φύγουμε' είναι λάθος — μετά το 'πρέπει' δεν μπαίνει 'θα'. Το 'να φύγετε' είναι δεύτερο πληθυντικό — λάθος πρόσωπο."
"Να + ρήμα: μπορώ να","'Μπορείς ___ με βοηθήσεις;' Ποια είναι η σωστή μορφή;","να με βοηθήσεις","βοηθήσεις","ότι βοηθάς","να με βοήθησες","Μετά το 'μπορείς' χρησιμοποιούμε 'να' + υποτακτική: 'να με βοηθήσεις'. Ο τύπος 'βοηθήσεις' χωρίς 'να' δεν μπορεί να ακολουθήσει το 'μπορείς' — λείπει το 'να'. Η μορφή 'να με βοήθησες' είναι οριστική αορίστου — δεν υπάρχει αυτός ο τύπος υποτακτικής."
"Να + ρήμα: θέλει να (τρίτο πρόσωπο)","'Η Μαρία θέλει ___ μείνει στο σπίτι.' Ποια είναι η σωστή μορφή;","να μείνει","να έμεινα","να έμεινε","ότι μένει","Μετά το 'θέλει' με υποκείμενο 'η Μαρία': 'να μείνει' (υποτακτική αορίστου τρίτου ενικού). Ο τύπος 'να έμεινα' δεν υπάρχει — η οριστική αορίστου δεν μπαίνει μετά το 'να'. Το 'να έμεινε' επίσης δεν υπάρχει για τον ίδιο λόγο."
"Να + ρήμα: πρέπει να (τρίτο πληθυντικό)","'Πρέπει ___ έρθουν νωρίς.' Ποια είναι η σωστή μορφή;","να έρθουν","να ερχόντουσαν","θα έρθουν","ότι έρχονται","Η υποτακτική αορίστου τρίτου πληθυντικού: 'να έρθουν'. Το 'θα έρθουν' είναι λάθος — μετά το 'πρέπει' δεν μπαίνει 'θα'. Το 'να ερχόντουσαν' δεν υπάρχει ως τύπος."
"Να + ρήμα: θέλουμε να","'Θέλουμε ___ δούμε τη θάλασσα.' Ποια είναι η σωστή μορφή;","να δούμε","να είδαν","να είδαμε","ότι βλέπουμε","Μετά το 'θέλουμε' χρησιμοποιούμε υποτακτική αορίστου πρώτου πληθυντικού: 'να δούμε'. Ο τύπος 'να είδαν' δεν υπάρχει — η οριστική αορίστου δεν μπαίνει μετά το 'να'. Το 'να είδαμε' επίσης δεν υπάρχει για τον ίδιο λόγο."
"Να + ρήμα: μπορώ (αρνητικό)","'Δεν μπορώ ___ σε ακούσω καλά.' Ποια είναι η σωστή μορφή;","να σε ακούσω","ακούσω","ότι δεν ακούω","να σε ακούσει","Ακόμα και με άρνηση το 'μπορώ' παίρνει 'να' + υποτακτική: 'να σε ακούσω'. Ο τύπος 'ακούσω' χωρίς 'να' δεν μπορεί να ακολουθήσει το 'μπορώ' — λείπει το 'να'. Το 'να σε ακούσει' είναι τρίτο πρόσωπο — λάθος."
"Να + ρήμα: επιθυμία","'Θέλω ___ είσαι χαρούμενος.' Ποια είναι η σωστή μορφή;","να είσαι","να ήσουν","ότι είσαι","να είσουν","Μετά το 'θέλω' + διαφορετικό υποκείμενο: 'να είσαι' (υποτακτική ενεστώτα, δεύτερο ενικό). Το 'να ήσουν' είναι παρατατικός — λάθος χρόνος. Ο τύπος 'να είσουν' δεν υπάρχει στα ελληνικά."
"Να + ρήμα: πρέπει (πρώτο ενικό)","'Πρέπει ___ τελειώσω τη δουλειά μου.' Ποια είναι η σωστή μορφή;","να τελειώσω","να τελείωσα","ότι τελειώνω","να τελειώσεις","Μετά το 'πρέπει' (με υποκείμενο 'εγώ'): 'να τελειώσω'. Το 'να τελείωσα' δεν υπάρχει — ο αόριστος οριστικής δεν μπαίνει μετά το 'να' έτσι. Το 'να τελειώσεις' είναι δεύτερο πρόσωπο."
"Να + ρήμα: μπορούν να","'Μπορούν ___ πληρώσουν αύριο.' Ποια είναι η σωστή μορφή;","να πληρώσουν","να πλήρωναν","ότι πληρώνουν","να πληρώσεις","Τρίτο πληθυντικό: 'να πληρώσουν'. Το 'να πλήρωναν' είναι παρατατικός — λάθος χρόνος μετά το 'μπορούν'. Το 'να πληρώσεις' είναι δεύτερο ενικό — λάθος πρόσωπο."
