"title","question","correct","wrong1","wrong2","wrong3","explanation"
"Ρούχα: βασικές λέξεις","Τι φοράς στα πόδια σου;","παπούτσια","γάντια","κασκόλ","καπέλο","Τα παπούτσια φοριούνται στα πόδια. Χωρίς παπούτσια δεν μπορείς να περπατήσεις έξω."
"Ρούχα: βασικές λέξεις","Τι φοράς στο κεφάλι σου όταν κάνει κρύο;","καπέλο","ζώνη","κάλτσες","γραβάτα","Το καπέλο φοριέται στο κεφάλι και ζεσταίνει όταν κάνει κρύο."
"Ρούχα: βασικές λέξεις","Τα παντελόνια φοριούνται ___.","στα πόδια","στα χέρια","στο κεφάλι","στον λαιμό","Τα παντελόνια καλύπτουν τα πόδια από τη μέση έως τα γόνατα ή τους αστραγάλους."
"Ρούχα: βασικές λέξεις","Τι φοράς στα χέρια σου όταν κάνει πολύ κρύο;","γάντια","σανδάλια","φόρεμα","πουκάμισο","Τα γάντια φοριούνται στα χέρια για να προστατεύουν από το κρύο."
"Ρούχα: βασικές λέξεις","Η ζώνη φοριέται ___.","στη μέση","στο κεφάλι","στα πόδια","στον λαιμό","Η ζώνη φοριέται στη μέση για να κρατάει τα παντελόνια στη θέση τους."
"Ρούχα: βασικές λέξεις","Τι φοράς στον λαιμό όταν κάνει κρύο;","κασκόλ","πέδιλα","φούστα","γάντια","Το κασκόλ φοριέται στον λαιμό και ζεσταίνει τον χειμώνα."
"Ρούχα: βασικές λέξεις","Οι κάλτσες φοριούνται ___.","στα πόδια","στα χέρια","στον λαιμό","στη μέση","Οι κάλτσες φοριούνται στα πόδια, μέσα στα παπούτσια."
"Ρούχα: βασικές λέξεις","Τι είναι η φούστα;","ένδυμα που καλύπτει από τη μέση προς τα κάτω","χειμερινό εξωτερικό ένδυμα με φερμουάρ","βαρύ ένδυμα για βροχερές μέρες","λεπτό ένδυμα που φοριέται κάτω από άλλα ρούχα","Η φούστα καλύπτει τη μέση και τα πόδια από πάνω. Δεν έχει δύο ξεχωριστά τμήματα για κάθε πόδι."
"Ρούχα: βασικές λέξεις","Τι φοράς για να κολυμπήσεις στη θάλασσα;","μαγιό","παλτό","γραβάτα","μπότες","Το μαγιό φοριέται στη θάλασσα ή στην πισίνα για κολύμπι."
"Ρούχα: βασικές λέξεις","Το μπουφάν είναι ___.","εξωτερικό ένδυμα για κρύο καιρό","κάλυμμα για το κεφάλι","ένδυμα για τα πόδια","εσωτερικό ρούχο που φοριέται πρώτο","Το μπουφάν είναι εξωτερικό ένδυμα που φοριέται πάνω από άλλα ρούχα όταν κάνει κρύο."
